year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
2012,Nissan,Titan,SV,Crew Cab,automatic,1n6ba0ec1cn321090,nc,4,29747,black,black,primeritus remarketing/coastal fcu,23400,21000,Mon Dec 22 2014 09:00:00 GMT-0800 (PST)
2012,Nissan,Versa,1.8 S,Hatchback,automatic,3n1bc1cpxck285840,wa,3.7,35504,blue,gray,dollar rac/seattle,8625,10000,Wed Jan 07 2015 13:30:00 GMT-0800 (PST)
2012,Nissan,Sentra,2.0 SL,Sedan,automatic,3n1ab6ap1cl652665,pa,4.2,30121,black,black,mi joe auto sales,11300,11500,Fri Jan 02 2015 09:00:00 GMT-0800 (PST)
2010,Nissan,Armada,SE,SUV,automatic,5n1aa0nc4an608043,oh,4.9,74449,burgundy,gray,dave's auto,16950,18800,Tue Jan 13 2015 09:30:00 GMT-0800 (PST)
2006,Nissan,Murano,SL,SUV,automatic,jn8az08w36w534686,ca,2.7,140437,white,beige,premium auto wholesale,5125,5900,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2014,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap8en254757,fl,4.5,20956,red,black,courtney leasing inc,14550,14700,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
2014,Nissan,Maxima,3.5 S,Sedan,automatic,1n4aa5ap6ec461161,ca,1,16422,white,beige,enterprise vehicle exchange / tra / rental / tulsa,17000,15250,Tue Dec 30 2014 12:00:00 GMT-0800 (PST)
2014,Nissan,Versa Note,1.6 SV,Hatchback,automatic,3n1ce2cp5el389699,fl,3.9,24000,blue,black,courtney leasing inc,10350,11000,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap8dn407877,md,1.9,39459,red,beige,tischer acura nissan,13300,9700,Tue Dec 30 2014 09:30:00 GMT-0800 (PST)
2013,Nissan,Leaf,SL,Hatchback,automatic,1n4az0cp8dc404466,tx,4.2,1,white,black,nissan-infiniti lt,15450,9200,Wed Dec 31 2014 10:30:00 GMT-0800 (PST)
2013,Nissan,Leaf,SV,Hatchback,automatic,1n4az0cp7dc402112,mo,4.5,15160,white,black,nissan-infiniti lt,14450,14200,Wed Jan 07 2015 02:30:00 GMT-0800 (PST)
2013,Nissan,Altima,2.5 S,Coupe,automatic,1n4al2ep6dc270115,co,4.9,8784,white,black,nissan north america inc.,16000,13200,Tue Dec 30 2014 12:00:00 GMT-0800 (PST)
2013,Nissan,Rogue,SV,SUV,automatic,jn8as5mt1dw518304,tx,4,25070,gray,black,wells fargo dealer services,14950,15200,Mon Dec 22 2014 10:00:00 GMT-0800 (PST)
2013,Nissan,Quest,SL,Minivan,automatic,jn8ae2kp8d9068144,oh,3.7,53071,black,gray,the hertz corporation,15500,15501,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap6cc253450,md,3.1,63459,white,tan,dtg operations inc,9850,9400,Tue Dec 30 2014 09:30:00 GMT-0800 (PST)
2012,Nissan,Altima,2.5,Sedan,automatic,1n4al2ap8cn539675,sc,2,46274,silver,gray,national remarketing services,10900,11700,Thu Jan 08 2015 10:00:00 GMT-0800 (PST)
2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap1cc124354,nj,3.6,45035,silver,black,nissan-infiniti lt,11600,12800,Wed Dec 31 2014 09:30:00 GMT-0800 (PST)
2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap8cn474939,fl,2.2,22796,blue,black,nissan-infiniti lt,13200,10800,Mon Dec 22 2014 09:30:00 GMT-0800 (PST)
2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap5cn409966,nj,2.3,35323,black,black,nissan-infiniti lt,12000,11900,Wed Jan 14 2015 01:30:00 GMT-0800 (PST)
2012,Nissan,Altima,2.5 S,Coupe,automatic,1n4al2ep6cc143881,fl,2.1,39057,gray,black,nissan-infiniti lt,13100,9600,Mon Dec 22 2014 09:30:00 GMT-0800 (PST)
2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2apxcn406545,mo,3.5,38814,black,black,nissan-infiniti lt,11800,13300,Wed Jan 14 2015 02:30:00 GMT-0800 (PST)
2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap9cn548627,nj,4.3,21579,white,tan,nissan-infiniti lt,13150,12800,Wed Dec 31 2014 09:30:00 GMT-0800 (PST)
2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap8cc178024,nj,3.5,45197,black,black,nissan-infiniti lt,11600,12800,Wed Dec 31 2014 09:30:00 GMT-0800 (PST)
2012,Nissan,Maxima,3.5 SV,Sedan,automatic,1n4aa5ap3cc815456,nj,4,35970,brown,black,nissan-infiniti lt,17150,18400,Wed Dec 31 2014 09:30:00 GMT-0800 (PST)
2012,Nissan,Leaf,SL,Hatchback,automatic,jn1az0cp4ct015335,oh,4.3,23990,white,gray,nissan-infiniti lt,11100,10800,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
2012,Nissan,Murano,LE,SUV,automatic,jn8az1mw5cw208878,nj,3.4,33999,white,tan,lester glenn buick,22500,15000,Wed Dec 31 2014 09:30:00 GMT-0800 (PST)
2012,Nissan,Rogue,SV,SUV,automatic,jn8as5mv3cw399056,nj,4.4,38133,silver,black,nissan-infiniti lt,15550,17800,Wed Dec 31 2014 09:30:00 GMT-0800 (PST)
2012,Nissan,Rogue,S,SUV,automatic,jn8as5mv8cw402999,nj,2.6,21150,gray,gray,nissan-infiniti lt,16700,13800,Wed Dec 31 2014 09:30:00 GMT-0800 (PST)
2011,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap8bc154143,md,2.1,47240,blue,black,capital one auto finance,10050,9000,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
2011,Nissan,Altima,2.5,Sedan,automatic,1n4al2ap7bn506472,tx,4,1,beige,beige,nissan motor acceptance corporation,13300,6000,Tue Jan 13 2015 03:00:00 GMT-0800 (PST)
2011,Nissan,Maxima,3.5 SV,Sedan,automatic,1n4aa5ap7bc864724,nj,3.9,61433,black,black,nissan-infiniti lt,15000,16200,Wed Dec 31 2014 09:30:00 GMT-0800 (PST)
2011,Nissan,Maxima,3.5 SV,Sedan,automatic,1n4aa5ap7bc855859,nj,2.6,39623,burgundy,tan,nissan-infiniti lt,16550,16200,Wed Dec 31 2014 09:30:00 GMT-0800 (PST)
2011,Nissan,Maxima,3.5 SV,Sedan,automatic,1n4aa5apxbc831877,nj,3.4,42353,black,black,nissan-infiniti lt,16350,17400,Wed Dec 31 2014 09:30:00 GMT-0800 (PST)
2011,Nissan,Pathfinder,SV,SUV,automatic,5n1ar1nn8bc635338,fl,2.8,23281,black,gray,nissan-infiniti lt,18300,15200,Mon Dec 22 2014 09:30:00 GMT-0800 (PST)
2011,Nissan,Murano,SV,SUV,automatic,jn8az1mu7bw063355,fl,4.2,21689,silver,black,nissan-infiniti lt,19600,18000,Tue Dec 23 2014 09:30:00 GMT-0800 (PST)
2011,Nissan,Maxima,3.5 SV,Sedan,automatic,1n4aa5ap2bc864064,ca,2,44067,black,black,nissan motor acceptance corporation,16300,14750,Tue Dec 23 2014 12:30:00 GMT-0800 (PST)
2011,Nissan,Maxima,3.5 SV,Sedan,automatic,1n4aa5ap0bc860420,fl,3.7,38488,gray,black,nissan-infiniti lt,16700,16200,Mon Dec 22 2014 09:30:00 GMT-0800 (PST)
2011,Nissan,Maxima,3.5 SV,Sedan,automatic,1n4aa5apxbc845293,fl,3.1,37807,gray,black,nissan-infiniti lt,16800,16000,Tue Dec 23 2014 09:30:00 GMT-0800 (PST)
2011,Nissan,Rogue,SV,SUV,automatic,jn8as5mt2bw181414,tx,3.5,26850,white,gray,nissan-infiniti lt,14450,17200,Wed Jan 07 2015 10:30:00 GMT-0800 (PST)
2011,Nissan,Rogue,SV,SUV,automatic,jn8as5mv8bw672412,tn,3.7,36716,gray,black,nissan-infiniti lt,15900,16800,Wed Dec 31 2014 10:30:00 GMT-0800 (PST)
2011,Nissan,Rogue,SV,SUV,automatic,jn8as5mt9bw181779,fl,3.8,37100,black,black,nissan-infiniti lt,15000,16000,Mon Dec 22 2014 09:30:00 GMT-0800 (PST)
2011,Nissan,Rogue,SV,SUV,automatic,jn8as5mt1bw188449,ca,4.1,30906,white,gray,nissan-infiniti lt,15550,15250,Tue Dec 23 2014 12:30:00 GMT-0800 (PST)
2011,Nissan,Rogue,SV,SUV,automatic,jn8as5mv1bw305206,tn,2.7,20180,black,tan,nissan-infiniti lt,16850,14700,Wed Jan 21 2015 02:30:00 GMT-0800 (PST)
2011,Nissan,Versa,1.8 S,Hatchback,automatic,3n1bc1cp3bl430399,fl,3.9,69638,white,black,myrddin fleet services,5900,5600,Tue Dec 30 2014 09:30:00 GMT-0800 (PST)
2010,Nissan,Sentra,2,Sedan,automatic,3n1ab6ap4al642080,fl,3.6,96300,white,gray,hertz remarketing,5775,6100,Tue Dec 23 2014 12:00:00 GMT-0800 (PST)
2010,Nissan,Murano,LE,SUV,automatic,jn8az1mw4aw101155,fl,4.4,36721,off-white,beige,tdaf remarketing,18650,21200,Tue Feb 17 2015 01:00:00 GMT-0800 (PST)
2009,Nissan,Rogue,S,SUV,automatic,jn8as58v99w445296,va,2.1,75903,silver,gray,apple fcu,8575,8100,Wed Dec 31 2014 09:30:00 GMT-0800 (PST)
2008,Nissan,Maxima,3.5 SE,Sedan,automatic,1n4ba41e78c823208,fl,1.9,117903,white,tan,boniface hiers chrysler dodge jeep,6225,5100,Tue Dec 23 2014 09:30:00 GMT-0800 (PST)
2008,Nissan,Xterra,X,SUV,automatic,5n1an08u48c518454,fl,3.5,98814,silver,black,gte fcu,7950,8400,Tue Dec 23 2014 12:10:00 GMT-0800 (PST)
2008,Nissan,Pathfinder,SE,SUV,automatic,5n1ar18u58c627094,fl,2.9,105548,brown,tan,gm financial,8600,9500,Thu Feb 12 2015 01:40:00 GMT-0800 (PST)
2007,Nissan,Altima,2.5 S,Sedan,automatic,1n4al21e67c219450,ma,3.6,129016,gray,black,clay nissan of newton inc,4925,4700,Tue Dec 23 2014 10:00:00 GMT-0800 (PST)
2006,Nissan,Murano,SL,SUV,automatic,jn8az08t36w421651,ca,3.5,112645,silver,black,wells fargo dealer services,6525,6500,Fri Dec 26 2014 15:00:00 GMT-0800 (PST)
2003,Nissan,Altima,2.5 SL,Sedan,automatic,1n4al11d63c103984,nc,1,1,green,gray,axcess financial,3275,1000,Tue Jan 06 2015 00:30:00 GMT-0800 (PST)
2001,Nissan,Maxima,GLE,Sedan,automatic,jn1ca31a61t107642,ga,1.9,102884,silver,black,gwinnett place honda,2275,1900,Tue Dec 23 2014 13:00:00 GMT-0800 (PST)
2014,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap2en208969,co,4.9,9408,blue,black,nissan motor acceptance corporation,16900,15900,Tue Dec 23 2014 11:45:00 GMT-0800 (PST)
2014,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3apxen355945,tx,4.5,12749,gray,black,nissan motor acceptance corporation,16900,14600,Wed Dec 31 2014 10:30:00 GMT-0800 (PST)
2014,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap3en374482,fl,2.4,18776,brown,black,florida auto financial group,14850,13500,Tue Dec 23 2014 09:30:00 GMT-0800 (PST)
2014,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap3en255315,fl,3.5,23903,gray,black,courtney leasing inc,14550,14500,Tue Dec 30 2014 09:30:00 GMT-0800 (PST)
2014,Nissan,Sentra,FE+ S,Sedan,automatic,3n1ab7ap2ey257731,ca,4.9,1622,white,tan,nissan motor acceptance corporation,13850,13750,Tue Dec 23 2014 12:30:00 GMT-0800 (PST)
2014,Nissan,Sentra,S,Sedan,automatic,3n1ab7apxey219387,fl,4.8,10506,gray,black,capital one auto finance,13150,12500,Tue Dec 30 2014 12:10:00 GMT-0800 (PST)
2014,Nissan,Sentra,S,Sedan,manual,3n1ab7ap0ey209032,ca,3.6,8942,silver,gray,nissan motor acceptance corporation,13400,12000,Tue Dec 23 2014 12:30:00 GMT-0800 (PST)
2014,Nissan,Versa,1.6 SV,Sedan,automatic,3n1cn7ap6el837786,ca,4.9,12776,blue,black,foursight capital llc,10400,10300,Tue Dec 23 2014 12:00:00 GMT-0800 (PST)
2014,Nissan,Versa,1.6 SV,Sedan,automatic,3n1cn7ap5el857320,tx,3.6,11439,gray,black,nissan motor acceptance corporation,10350,9600,Wed Dec 31 2014 10:30:00 GMT-0800 (PST)
2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap1dn452398,tx,4,15161,brown,black,nissan-infiniti lt,14950,14000,Tue Dec 23 2014 10:10:00 GMT-0800 (PST)
